day,num
0,2371
1,285
2,58
3,23
4,16
5,12
6,14
7,23
8,11
9,6
10,5
11,1
12,0
13,11
14,5
15,2
16,2
17,0
18,3
19,0
20,1
21,4
22,3
23,2
24,0
25,0
26,1
27,7
28,1
29,0
30,0
31,0
32,2
33,1
34,2
35,1
36,3
37,2
38,0
39,0
40,0
41,0
42,2
43,0
44,1
45,1
