In,Out,Weight
1883031,4055982,1
6004158,5737399,1
1128694,3512175,1
1128694,6004344,1
6003862,924,1
1077657,152016,1
1077657,3686664,1
1077657,2045851,1
6000147,3385238,1
6000147,4898045,1
6000147,2943906,1
3925445,3890755,1
3469725,390330,1
3591734,3591734,1
1153105,635981,1
5339514,5339514,1
3362334,2801559,1
2934664,7966,1
2934664,695364,1
6000147,4515851,1
5974359,3311552,1
3526482,5650793,1
3526482,4055982,1
86860,5535245,1
86860,5601482,1
5556453,3185918,1
3455405,1175966,1
766532,5784724,1
766532,1464112,1
766532,5999056,1
1170330,2418295,1
1170330,1063392,1
1170330,3890755,1
1170330,2417031,1
5561275,3299157,1
5561275,5867572,1
3257186,3213605,1
3791372,1296030,1
3791372,3997554,1
3791372,5993558,1
6004975,1491895,1
6004975,1380739,1
6004975,6004975,1
1401322,1401322,1
4760630,1035889,1
4760630,390330,1
2690151,1961551,1
5718713,5850955,1
5718713,3832430,1
5718713,4066269,1
6004856,4094489,1
5117502,439963,1
5661019,1175966,1
1861065,777265,1
5623324,4703663,1
5623324,1167573,1
5623324,4898045,1
4891079,5784724,1
4891079,4094489,1
4891079,2505965,1
4891079,2813224,1
5517049,1048200,1
3449772,2270775,1
1647608,3556378,1
2000548,4410165,1
2443105,5784724,1
2443105,4055982,1
6000502,439963,1
6000502,1063392,1
3059097,315935,1
729403,5016997,1
3858177,1411724,1
3858177,918910,1
5999446,6003178,1
4139179,2801559,1
105817,2448829,1
2873468,53788,1
5970552,439963,1
3257186,3803371,1
3257186,1301984,1
3257186,4517228,1
617779,4662347,1
6004872,3875230,1
5343181,5817001,1
2023745,229044,1
2023745,3208258,1
989722,2137104,1
5917969,1906740,1
6004169,5769903,1
4967389,5188543,1
4170705,2801559,1
5544274,5959673,1
5544274,5544274,1
128511,21475,1
4879275,3741957,1
5753624,1205871,1
5753624,349524,1
2241385,670396,1
2241385,1048572,1
2241385,633183,1
2016277,3412322,1
4515851,3930193,1
3451051,4346603,1
5143710,3360175,2
5143710,3695983,1
5390799,5784724,1
5992885,8559,1
6001724,225749,1
5015813,1416013,1
5145815,5145815,1
5496312,1888609,1
5482003,2019549,1
4186431,2699901,1
4186431,3280538,1
4186431,2262972,1
5913892,5173560,1
5655502,4765380,1
5655502,5999346,1
4538158,1447675,1
4538158,1942,1
5592819,1058232,1
5592819,4278933,1
3255845,4419834,1
545359,5535245,1
5980603,4863465,1
2115971,1205871,1
3498044,2933977,1
5351354,3005251,1
3062131,2402092,1
3062131,3062131,1
6004291,12148,1
3769905,2247344,1
3769905,469043,1
1551797,3608192,1
1551797,5487673,1
2696466,1406101,1
5998576,4220815,1
6004213,5999686,1
1604590,3771976,1
5764567,5935618,1
5764567,1113023,1
5556720,624071,1
5996012,1149277,1
5996012,5916150,1
5835108,670884,1
742402,315935,1
3100893,4111931,1
5182396,1728704,1
5182396,1246930,1
5182396,135105,1
1062714,3832970,1
1062714,4111931,1
1062714,4473405,1
1062714,4864063,1
1062714,3417449,1
4967389,53788,1
4967389,5937022,1
2567859,3215527,1
2567859,2040863,1
5562078,439963,1
5562078,5784724,1
5029589,19068,1
551436,551436,1
1024711,2498782,1
1024711,1024711,1
2230094,5620297,1
1977333,5935618,1
6004427,4043593,1
6002724,1376624,1
5077225,361762,1
5077225,1028949,1
2302843,2865186,1
1467612,1467612,1
1072283,1072283,1
3282434,4173754,1
3282434,3998448,1
3282434,501667,1
1422604,1063392,1
1422604,4854965,1
1817288,1416013,1
5894770,89969,1
5894770,5937022,1
1446458,3386807,1
1883031,1423787,1
4278933,1084168,1
4278933,2295034,1
223939,1380739,1
223939,3934374,1
911147,3720222,1
5003932,3720222,1
5397422,1079221,1
6004439,2263572,1
5734570,2221248,1
5994650,1018912,1
5994650,1375300,1
6004186,2535335,1
6004186,4863465,1
6004408,5239908,1
6004408,3512175,1
1505456,2800222,1
5986457,1942,1
5137782,654953,1
5137782,19068,1
5137782,371184,1
5137782,122868,1
4844496,4281779,1
4844496,1503994,1
4844496,3512175,1
5471854,5993377,1
5471854,3562157,1
1034376,4095444,1
916995,6001295,1
916995,916995,1
4610511,4610511,1
5715258,3127632,1
5913250,5999216,1
5913250,2907528,1
5913250,5913250,1
5681487,3385238,1
1079221,1079221,1
5336434,2519538,1
1299780,1416013,1
1299780,965051,1
1299780,1175966,1
4573556,771848,1
5551745,5324369,1
563324,563324,1
6004090,3101532,1
6004090,2619950,1
1005607,18771,1
3724302,4281779,1
6003917,4879022,1
1066031,5980010,1
5998789,2851937,1
287436,1461008,1
3893149,1048200,1
3862378,2519538,1
3862378,2100197,1
6004146,1416013,1
6004146,1115433,1
4776831,385132,1
5277758,5277758,1
2479724,5035890,1
2479724,4278933,1
3133685,14104,1
3133685,215552,1
5945729,2019281,1
1649409,5989439,1
1720192,1209018,1
1720192,1588897,1
1720192,2755131,1
1720192,2801559,1
2858948,16363,1
2545680,3832970,1
2545680,548225,1
1961178,1115433,1
5603305,4891079,1
5603305,16363,1
1216931,1291163,1
6003617,5111146,1
6003617,6003617,1
652237,2115623,1
574005,439963,1
2747920,1291163,1
2747920,4517228,1
1730638,18771,1
1730638,3138755,1
3984103,1175966,1
5604854,4028085,1
5604854,4281779,1
2877882,5338113,1
2826766,1728704,1
4241633,1175966,1
4241633,4056188,1
6003329,6001295,1
1154380,1491895,1
1154380,18846,1
5058321,1175966,1
5058321,135105,1
5890795,2247494,1
2365711,2365711,1
5873517,4861854,1
2094662,1059070,1
2094662,371184,1
2094662,2801410,1
2072567,2072567,1
1046690,3838597,1
1046690,247843,1
5445534,386221,1
5445534,1762988,1
2707067,4508762,1
1067156,1067156,1
5980935,4281779,1
2747920,4586573,1
6003825,1447675,1
6003825,4281779,1
3342812,4515301,1
3342812,6004020,1
1013512,3868891,1
1013512,4055982,1
3818947,854556,1
3134977,998998,1
6003778,5935618,1
5947160,367927,1
5947160,1467321,1
5994501,3405171,1
5994501,4290096,1
4541800,5815386,1
4163703,4163703,1
56007,1000580,1
56007,425569,1
766264,771848,1
